iter	Passed	Remaining
467	725	824
468	726	822
469	727	820
470	728	818
471	729	816
472	730	814
473	732	812
474	733	810
475	734	808
476	736	806
477	737	805
478	738	803
479	739	801
480	740	799
481	741	797
482	743	795
483	744	793
484	745	791
485	746	789
486	747	787
487	748	785
488	749	783
489	751	781
490	752	779
491	753	777
492	754	776
493	755	774
494	756	772
495	757	770
496	759	768
497	760	766
498	761	764
499	762	762
500	763	760
501	764	758
502	765	756
503	767	754
504	768	752
505	769	751
506	770	749
507	771	747
508	772	745
509	773	743
510	775	741
511	776	739
512	777	738
513	778	736
514	779	734
515	780	732
516	781	730
517	783	728
518	784	726
519	785	725
520	786	723
521	787	721
522	789	719
523	790	717
524	791	716
525	792	714
526	794	712
527	795	710
528	796	708
529	797	706
530	798	705
531	799	703
532	800	701
533	801	699
534	803	697
535	804	696
536	805	694
537	806	692
538	807	690
539	808	688
540	809	687
541	811	685
542	812	683
543	813	681
544	814	680
545	816	678
546	817	676
547	818	675
548	819	673
549	820	671
550	822	670
551	823	668
552	824	666
553	826	665
554	827	663
555	828	661
556	829	660
557	831	658
558	832	656
559	833	655
560	835	653
561	836	651
562	837	649
563	838	648
564	839	646
565	840	644
566	842	643
567	843	641
568	844	639
569	845	638
570	847	636
571	848	634
572	849	632
573	850	631
574	851	629
575	853	627
576	854	626
577	855	624
578	856	622
579	857	621
580	858	619
581	860	617
582	861	616
583	862	614
584	863	612
585	865	611
586	866	609
587	867	608
588	869	606
589	870	604
590	871	602
591	872	601
592	873	599
593	874	597
594	876	596
595	877	594
596	878	593
597	879	591
598	880	589
599	881	587
600	882	586
601	884	584
602	885	582
603	886	581
604	887	579
605	888	577
606	889	576
607	891	574
608	892	572
609	893	571
610	894	569
611	895	567
612	896	566
613	898	564
614	899	562
615	900	561
616	901	559
617	902	558
618	904	556
619	905	554
620	906	553
621	907	551
622	908	549
623	909	548
624	910	546
625	912	544
626	913	543
627	917	543
628	919	542
629	920	540
630	921	538
631	923	537
632	924	535
633	925	534
634	926	532
635	928	531
636	929	529
637	930	528
638	931	526
639	932	524
640	934	523
641	935	521
642	936	520
643	938	518
644	939	517
645	940	515
646	941	513
647	943	512
648	944	510
649	945	509
650	946	507
651	948	506
652	949	504
653	950	502
654	951	501
655	952	499
656	953	497
657	954	496
658	955	494
659	957	493
660	958	491
661	959	489
662	960	488
663	961	486
664	962	485
665	964	483
666	965	481
667	966	480
668	967	478
669	968	477
670	969	475
671	970	473
672	972	472
673	973	470
674	974	469
675	975	467
676	976	466
677	977	464
678	979	462
679	980	461
680	981	459
681	982	458
682	983	456
683	984	455
684	986	453
685	987	451
686	988	450
687	989	448
688	990	447
689	992	445
690	993	444
691	994	442
692	995	440
693	996	439
694	997	437
695	998	436
696	999	434
697	1001	433
698	1002	431
699	1003	430
700	1004	428
701	1005	426
702	1007	425
703	1008	423
704	1009	422
705	1010	420
706	1011	419
707	1012	417
708	1013	416
709	1015	414
710	1016	413
711	1017	411
712	1018	409
713	1019	408
714	1020	406
715	1021	405
716	1023	403
717	1024	402
718	1025	400
719	1026	399
720	1027	397
721	1028	396
722	1029	394
723	1030	393
724	1032	391
725	1033	389
726	1034	388
727	1035	386
728	1036	385
729	1037	383
730	1038	382
731	1040	380
732	1041	379
733	1042	377
734	1043	376
735	1044	374
736	1045	373
737	1047	371
738	1048	370
739	1049	368
740	1050	367
741	1051	365
742	1052	364
743	1054	362
744	1055	361
745	1056	359
746	1057	358
747	1058	356
748	1059	355
749	1061	353
750	1062	352
751	1063	350
752	1064	349
753	1065	347
754	1067	346
755	1068	344
756	1069	343
757	1070	341
758	1071	340
759	1073	338
760	1074	337
761	1075	335
762	1076	334
763	1077	332
764	1078	331
765	1080	329
766	1081	328
767	1082	326
768	1083	325
769	1084	324
770	1086	322
771	1087	321
772	1088	319
773	1089	318
774	1091	316
775	1092	315
776	1093	313
777	1094	312
778	1095	310
779	1096	309
780	1097	307
781	1099	306
782	1100	304
783	1101	303
784	1102	301
785	1103	300
786	1104	299
787	1105	297
788	1107	296
789	1108	294
790	1109	293
791	1110	291
792	1111	290
793	1112	288
794	1113	287
795	1115	285
796	1116	284
797	1117	282
798	1118	281
799	1119	279
800	1121	278
801	1122	277
802	1123	275
803	1124	274
804	1125	272
805	1126	271
806	1127	269
807	1128	268
808	1129	266
809	1130	265
810	1131	263
811	1133	262
812	1134	260
813	1135	259
814	1136	258
815	1137	256
816	1139	255
817	1140	253
818	1141	252
819	1142	250
820	1143	249
821	1144	247
822	1146	246
823	1147	245
824	1148	243
825	1149	242
826	1150	240
827	1151	239
828	1153	237
829	1154	236
830	1155	234
831	1156	233
832	1157	232
833	1158	230
834	1159	229
835	1161	227
836	1162	226
837	1163	224
838	1164	223
839	1165	222
840	1167	220
841	1168	219
842	1169	217
843	1170	216
844	1171	214
845	1173	213
846	1174	212
847	1175	210
848	1176	209
849	1177	207
850	1178	206
851	1180	204
852	1181	203
853	1182	202
854	1183	200
855	1184	199
856	1188	198
857	1189	196
858	1190	195
859	1192	194
860	1193	192
861	1194	191
862	1195	189
863	1196	188
864	1198	186
865	1199	185
866	1200	184
867	1201	182
868	1202	181
869	1203	179
870	1205	178
871	1206	177
872	1207	175
873	1209	174
874	1210	172
875	1211	171
876	1213	170
877	1214	168
878	1215	167
879	1216	165
880	1217	164
881	1218	163
882	1219	161
883	1221	160
884	1222	158
885	1223	157
886	1224	155
887	1225	154
888	1226	153
889	1227	151
890	1228	150
891	1229	148
892	1231	147
893	1232	146
894	1233	144
895	1234	143
896	1235	141
