iter	Logloss
0	0.6924559474
1	0.6917660236
2	0.6912173033
3	0.6906714439
4	0.6901227832
5	0.689576745
6	0.6893025041
7	0.6887554526
8	0.6879308224
9	0.6872434616
10	0.6865620613
11	0.6860169768
12	0.6853349209
13	0.6847915649
14	0.6842522621
15	0.6835728884
16	0.6830325127
17	0.6824950576
18	0.681674242
19	0.6811369061
20	0.6808678508
21	0.680334568
22	0.6797975302
23	0.6791218519
24	0.6785852313
25	0.6777737141
26	0.6772423983
27	0.6765696406
28	0.6760334969
29	0.6755039692
30	0.6749734879
31	0.6741657257
32	0.6736366153
33	0.6731075048
34	0.672901094
35	0.6723749638
36	0.6718462706
37	0.6713190079
38	0.6706550717
39	0.669852972
40	0.6693274975
41	0.6686644554
42	0.6681431532
43	0.6679416895
44	0.6674153209
45	0.6668968201
46	0.666695714
47	0.6664344072
48	0.6659148932
49	0.6653916836
50	0.6648724675
51	0.6643506885
52	0.6638290882
53	0.6633114815
54	0.6627940536
55	0.6622752547
56	0.6617580652
57	0.6612421274
58	0.660723865
59	0.6600727439
60	0.6592859626
61	0.6587747335
62	0.6581250429
63	0.6576142311
64	0.6569667459
65	0.6563171148
66	0.6558083296
67	0.6551609039
68	0.654517889
69	0.6540082693
70	0.6535012722
71	0.6527227163
72	0.6519472599
73	0.6516957283
74	0.6509218216
75	0.6502851844
76	0.6500943303
77	0.6498405933
78	0.6496494412
79	0.6491465569
80	0.6486424208
81	0.6481330395
82	0.647947669
83	0.6474438906
84	0.6471918821
85	0.6465569139
86	0.6459237933
87	0.6457324028
88	0.6451056004
89	0.6446043849
90	0.6438397169
91	0.6433442831
92	0.6425801516
93	0.6420823336
94	0.6415897608
95	0.641092062
96	0.6405957937
97	0.6401010752
98	0.6396089196
99	0.639110446
100	0.6386173368
101	0.6381269097
102	0.6376342177
103	0.6371412873
104	0.636651516
105	0.6360317469
106	0.6355382204
107	0.6350502968
108	0.6348620653
109	0.6341174841
110	0.6333694458
111	0.632753551
112	0.63226372
113	0.6317780614
114	0.6311647296
115	0.6306809783
116	0.6304380894
117	0.6296972036
118	0.6292151213
119	0.6286023855
120	0.6281193495
121	0.6276351213
122	0.6271549463
123	0.6266723275
124	0.6261938214
125	0.6254589558
126	0.6248527765
127	0.6241201162
128	0.6238828897
129	0.623404026
130	0.6232233047
131	0.6226177216
132	0.6220194101
133	0.6214148998
134	0.6212363243
135	0.6207615137
136	0.6201609969
137	0.6195623875
138	0.6188374758
139	0.6186047792
140	0.6178801656
141	0.6174064875
142	0.61693573
143	0.6164662838
144	0.6162314415
145	0.6157636642
146	0.6152906418
147	0.6147008538
148	0.6142323017
149	0.6137638688
150	0.613047123
151	0.6124578714
152	0.6119914055
153	0.6115278006
154	0.6109397411
155	0.6104753017
156	0.6100109816
157	0.6095468402
158	0.609082818
159	0.6086229086
160	0.6081604958
161	0.607702136
162	0.607237339
163	0.606775403
164	0.606316328
165	0.6058558226
166	0.605396986
167	0.6049382091
168	0.6042354107
169	0.6037796736
170	0.6035509109
171	0.6033746004
172	0.6029189825
173	0.6023383141
174	0.6018843651
175	0.6013082266
176	0.6007330418
177	0.60027951
178	0.5997059345
179	0.5992516875
180	0.5987987518
181	0.5982265472
182	0.5977767706
183	0.597084403
184	0.5966337919
185	0.5961845517
186	0.595736742
187	0.5952891707
188	0.5945980549
189	0.5944290757
190	0.59386307
191	0.5934163332
192	0.5929697156
193	0.592402339
194	0.5919603109
195	0.5913978815
196	0.5908324718
197	0.590272069
198	0.5898308158
199	0.5896621943
200	0.5892198682
201	0.5887750983
202	0.5882194042
203	0.5877790451
204	0.5873336792
205	0.5866611004
206	0.5861058831
207	0.585549891
208	0.5851134062
